"2270","Accepted","Eastern","Lei Yue Mun Park - 75 Chai Wan Road, Chai Wan","","鯉魚門公園 - 柴灣柴灣道75號","","鲤鱼门公园 - 柴湾柴湾道75号","","22.277883","114.232427","Metals,Paper,Plastics,Rechargeable Batteries","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2390","Accepted","Kwun_Tong","Jodan Valley Park","","佐敦谷公園","","佐敦谷公园","","22.330110","114.221460","Metals,Paper,Plastics,Rechargeable Batteries,Glass Bottles","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2716","Accepted","Eastern","North Point Government Offices - 333 Java Road, North Point","","北角政府合署 - 北角渣華道333號","","北角政府合署 - 北角渣华道333号","","22.292057","114.208406","Metals,Paper,Plastics,Rechargeable Batteries","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2719","Accepted","Wan_Chai","Wanchai Tower - 12 Harbour Road, Wanchai","","灣仔政府大樓 - 灣仔港灣道12號","","湾仔政府大楼 - 湾仔港湾道12号","","22.279957","114.172543","Metals,Paper,Plastics,Rechargeable Batteries,Glass Bottles","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2720","Accepted","Wan_Chai","Revenue Tower - 5 Gloucester Road, Wanchai","","稅務大樓 - 灣仔告士打道5號","","税务大楼 - 湾仔告士打道5号","","22.279665","114.171981","Metals,Paper,Plastics,Rechargeable Batteries,Glass Bottles","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2721","Accepted","Wan_Chai","Immigration Tower - 7 Gloucester Road, Wan Chai","","入境事務大樓 - 灣仔告士打道7號","","入境事务大楼 - 湾仔告士打道7号","","22.279718","114.172977","Metals,Paper,Plastics,Rechargeable Batteries,Glass Bottles","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2722","Accepted","Central_Western","Queensway Government Offices - 66 Queensway, Hong Kong","","金鐘道政府合署 - 香港金鐘道66號","","金钟道政府合署 - 香港金钟道66号","","22.277988","114.164088","Metals,Paper,Plastics,Rechargeable Batteries","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2727","Accepted","Islands","Mui Wo Government Offices ","","梅窩政府合署","","梅窝政府合署","","22.266215","113.997851","Metals,Paper,Plastics,Rechargeable Batteries","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2730","Accepted","Yau_Tsim_Mong","Kowloon Government Offices - No. 405, Nathan Road, Yaumatei","","九龍政府合署 - 油麻地彌敦道405號","","九龙政府合署 - 油麻地弥敦道405号","","22.309441","114.171024","Metals,Paper,Plastics,Rechargeable Batteries","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2731","Accepted","Kowloon_City","Tokwawan Market and Government Offices - 165 Ma Tau Wai Road, Tokwawan","","土瓜灣街市政府合署 - 土瓜灣馬頭圍道165號","","土瓜湾街市政府合署 - 土瓜湾马头围道165号","","22.317090","114.187917","Metals,Paper,Plastics,Rechargeable Batteries","Recycling Bins at Public Place","Note: For public use","","","","","",""
"2734","Accepted","Yau_Tsim_Mong","Mongkok Government Offices - 30 Luen Wan Street, Mongkok","","旺角政府合署 - 旺角聯運街30號","","旺角政府合署 - 旺角联运街30号","","22.321453","114.172529","Metals,Paper,Plastics,Rechargeable Batteries","Recycling Bins at Public Place","Note: For public use","","","","","",""
